Category,Label,Originated_By,Source,Text
politics war economy health etc ,1,joe manchin,poltifact,partial government shutdown early 2019 affected 18 000 federal employee west virginia
world news,1,cbs news,cbs news,ally freeze russian gold vladimir putin stockpile 100 billion gold reserve russia since invade crimea 2014 target western sanction ukraine war
indian news,1,the hindu,the hindu,competition duk thiruvananthapuram
indian news,1,the hindu,the hindu,balagopal reject oppn charge budget proposal say 951 post create govt
politics war economy health etc ,1,barack obama,poltifact,wild bill hickok first duel town square family legend distant cousin mine
climate news,1,bbc,bbc,government say climate change curb inadequate minister say cop even low level could cost country billion pound year
politics war economy health etc ,1,elizabeth roberts,poltifact,30 cent every state tax dollar go medicaid
politics war economy health etc ,0,george holding,poltifact,say north carolina rep renee ellmers republican vote amendment prioritize deportation sexual criminal illegal immigrant
asian news,1,bbc,bbc,hundred taiwanese extradite china report human right group say practice use bolster chinese influence abroad
politics war economy health etc ,1,earl blumenauer,poltifact,marijuana less addictive alcohol tobacco
politics war economy health etc ,1,bill o reilly,poltifact,russia china absolutely say pretty clearly would keep economic sanction iran united state walk away deal
asian news,1,bbc,bbc,uyghur woman fight keep culture alive
indian news,1,the hindu,the hindu,probe headmistress allow student paint school floor parent refuse give communal colour incident
indian news,1,the hindu,the hindu,architect green revolution partnership subramaniam suddenly become union minister food agriculture 1964 swaminathan prove game
business news,1,bbc,bbc,car dealer group back 325m takeover bid
politics war economy health etc ,0,paul broun,poltifact,late unemployment number show nearly 315 000 american simply give hope come find job
climate news,1,bbc,bbc,indonesia criticises deal end deforestation country environment minister say country promise
indian news,1,the hindu,the hindu,mou sign develop portal credit guarantee scheme state earmark 100 crore
entertainment news,1,abc news,abc news,mexican president lash environmentalist group mexican singer actor environmentalist issue public protest plan cut low jungle cancun tulum build tourist train line
politics war economy health etc ,0,facebook posts,poltifact,atlanta shoot suspect write anti china post facebook prior shooting
politics war economy health etc ,0,state tea party express,poltifact,wisconsin gov scott walker create manufacturing lead job recovery 30 000 new job create year 15 000 create struggle manufacturing sector
politics war economy health etc ,0,no on 56 campaign,poltifact,california propose tobacco tax diverts 82 percent new tax line pocket wealthy special interest like insurance company help even one patient
ukraine russia war,1,bbc,bbc,russia face brain drain thousand flee abroad many russian afford flee nearby country since russia invade ukraine
politics war economy health etc ,0,viral image,poltifact,say photo show elephant carry lion cub pool water die
politics war economy health etc ,0,viral image,poltifact,asks possible chart show 104 41 register voter north carolina 103 56 register voter wisconsin cast vote
politics war economy health etc ,0,toni preckwinkle,poltifact,say susana mendoza supporter death penalty could administer sleep like baby night
business news,1,bbc,bbc,price home south west coast rise fast personal finance correspondent bbc news
politics war economy health etc ,0,loretta sanchez,poltifact,brady campaign give 100 percent 99 100 percent rating
indian news,1,the hindu,the hindu,peacock death continue worry official villager chittoor district andhra pradesh 14 bird die chittoor district month
politics war economy health etc ,1,sonji jacobs,poltifact,initial effort strip airport contractor special diversity status effect contract city diversity goal
indian news,1,the hindu,the hindu,gear manage tourist arrival udhagamandalam kodaikanal hc tell collector ban one time use plastic product must implement strictly
indian news,1,the hindu,the hindu,kcr free enhance quota say laxman cm instead drag centre shift blame
business news,1,bbc,bbc,morrison back u firm improve takeover offer
indian news,1,the hindu,the hindu,sharad pawar reject devendra fadnavis claim sting ncp chief term yet another bid bjp destabilise maharashtra government use central agency
politics war economy health etc ,1,nicholas scutari,poltifact,certainly go restrictive state land term get medical marijuana prescribed achieve term move marketplace
world news,1,nbc news,nbc news,rio pop star anitta becomes first brazilian top spotify global chart song envolver rise daily global top 50 chart online campaign singer brazilian celebrity
politics war economy health etc ,1,esquire magazine,poltifact,year newt gingrich raise much money mitt romney tim pawlenty sarah palin mike huckabee combine
politics war economy health etc ,0,brian fallon,poltifact,nevada still state 80 percent white voter
politics war economy health etc ,0,michael caputo,poltifact,demconvention know nygovcuomo force nursing home across ny take covid positive patient plant seed infection kill thousand grandmother grandfather
politics war economy health etc ,0,thom tillis,poltifact,cal cunningham silent defunding police assume silence consent
politics war economy health etc ,0,chip roy,poltifact,say austin put police street go way austin leader say oh let reimagine police get rid double murder austin texas
politics war economy health etc ,1,rob portman,poltifact,16 trillion national debt bill would cover entire state ohio nearly time
technology news,1,bbc,bbc,musk make whistleblower joke new tesla item recent month tesla face lawsuit allege sexual harassment racist abuse
politics war economy health etc ,0,facebook posts,poltifact,say donald trump get expose rap 13 year old retaliation law enforcement officer kill black people
